ticker,model,feature,importance
KO,RandomForest,bb_bandwidth_20,0.012067248427417637
KO,RandomForest,donchian_pos_20,0.0019744601605844437
KO,RandomForest,rolling_std_10,0.027007411184074057
KO,RandomForest,rolling_std_20,0.05082435913933965
KO,RandomForest,rolling_std_60,0.08223881061461369
KO,RandomForest,atr_14,0.03623996804636493
KO,RandomForest,adx_14,0.04407913738973729
KO,RandomForest,sharpe_20,0.00807734641914504
KO,RandomForest,sharpe_60,0.034128809732538026
KO,RandomForest,volume_change,0.0005388963088193669
KO,RandomForest,volume_sma_20,0.0024962888603373384
KO,RandomForest,volume_zscore_20,0.003032907056713714
KO,RandomForest,dollar_volume_20,0.09426652361748336
KO,RandomForest,obv,0.048341498827957
KO,RandomForest,close_to_52w_high,0.019415362709329257
KO,RandomForest,close_to_52w_low,0.10726241325115335
KO,RandomForest,price_position_252d,0.23070856399985112
KO,CatBoostRegressor,return_1d,0.016980824031917197
KO,CatBoostRegressor,return_5d,0.09086814022794178
KO,CatBoostRegressor,return_10d,0.1382107588416919
KO,CatBoostRegressor,return_20d,0.9735524349501808
KO,CatBoostRegressor,log_return_1d,0.06088605332119021
KO,CatBoostRegressor,price_change,0.04631082869214976
KO,CatBoostRegressor,high_low_spread,0.4485581443658642
KO,CatBoostRegressor,open_close_spread,0.014219689957255192
KO,CatBoostRegressor,sma_5,0.008957824558525833
KO,CatBoostRegressor,sma_10,0.038793098810619764
KO,CatBoostRegressor,sma_20,0.05699261510615578
KO,CatBoostRegressor,sma_50,2.497327142370604
KO,CatBoostRegressor,sma_100,3.2601808776456584
KO,CatBoostRegressor,ema_12,0.0970352875850169
KO,CatBoostRegressor,ema_26,0.1825552561145048
KO,CatBoostRegressor,rsi_14,0.449165349159319
KO,CatBoostRegressor,macd,2.9386501502857194
KO,CatBoostRegressor,macd_signal,3.2267969726850474
KO,CatBoostRegressor,macd_hist,0.5775184287336876
KO,CatBoostRegressor,momentum_10,0.8214860931942767
KO,CatBoostRegressor,roc_10,0.09488710782213369
KO,CatBoostRegressor,roc_20,0.18291092739046932
KO,CatBoostRegressor,roc_60,1.957658662961264
KO,CatBoostRegressor,stoch_k_14,0.04203370400454061
KO,CatBoostRegressor,stoch_d_3,0.48531716668138764
KO,CatBoostRegressor,williams_r_14,0.14232675964137595
KO,CatBoostRegressor,cci_20,0.7410948526260842
KO,CatBoostRegressor,bb_percent_b_20,0.13942252397756458
KO,CatBoostRegressor,bb_bandwidth_20,1.183178532674073
KO,CatBoostRegressor,donchian_pos_20,0.10674025335452204
KO,CatBoostRegressor,rolling_std_10,1.2910066789033932
KO,CatBoostRegressor,rolling_std_20,2.872993428753959
KO,CatBoostRegressor,rolling_std_60,17.796473076793728
KO,CatBoostRegressor,atr_14,2.748526172168728
KO,CatBoostRegressor,adx_14,4.8427025441873335
KO,CatBoostRegressor,sharpe_20,0.7500580368117836
KO,CatBoostRegressor,sharpe_60,3.9443571251459333
KO,CatBoostRegressor,volume_change,0.01134906971998368
KO,CatBoostRegressor,volume_sma_20,0.12539105130971848
KO,CatBoostRegressor,volume_zscore_20,0.18097086790350614
KO,CatBoostRegressor,dollar_volume_20,12.307857137317875
KO,CatBoostRegressor,obv,6.431797338469432
KO,CatBoostRegressor,close_to_52w_high,6.232178076776914
KO,CatBoostRegressor,close_to_52w_low,13.668250148297016
KO,CatBoostRegressor,price_position_252d,5.775472785669979
KO,CatBoostClassifier,return_1d,0.1415207029876163
KO,CatBoostClassifier,return_5d,0.5097544917414918
KO,CatBoostClassifier,return_10d,0.5510511883946572
KO,CatBoostClassifier,return_20d,0.38927775071094217
KO,CatBoostClassifier,log_return_1d,0.0544069320595097
KO,CatBoostClassifier,price_change,0.14151027097234642
KO,CatBoostClassifier,high_low_spread,0.34634486926238905
KO,CatBoostClassifier,open_close_spread,0.02850747241229572
KO,CatBoostClassifier,sma_5,0.25711565339217546
KO,CatBoostClassifier,sma_10,0.33299199911637073
KO,CatBoostClassifier,sma_20,0.27351491027990593
KO,CatBoostClassifier,sma_50,1.449439686734972
KO,CatBoostClassifier,sma_100,2.7336794207331288
KO,CatBoostClassifier,ema_12,0.5538637362479311
KO,CatBoostClassifier,ema_26,0.14660690649549285
KO,CatBoostClassifier,rsi_14,0.6661251343021586
KO,CatBoostClassifier,macd,2.0898832558763103
KO,CatBoostClassifier,macd_signal,1.9795288341779607
KO,CatBoostClassifier,macd_hist,1.790278621837651
KO,CatBoostClassifier,momentum_10,0.9666659289457662
KO,CatBoostClassifier,roc_10,0.5089943682993162
KO,CatBoostClassifier,roc_20,0.5872980804245306
KO,CatBoostClassifier,roc_60,2.3523962896973583
KO,CatBoostClassifier,stoch_k_14,0.1872050761555756
KO,CatBoostClassifier,stoch_d_3,0.4030877643134077
KO,CatBoostClassifier,williams_r_14,0.19856993951293903
